============================= test session starts ==============================
platform linux -- Python 3.6.6, pytest-4.0.0, py-1.7.0, pluggy-0.8.0 -- /home/finkernagel/upstream/dev/bin/python3
cachedir: .pytest_cache
rootdir: /home/finkernagel/upstream/dppd, inifile: setup.cfg
tests/test_select.py::test_select PASSED                                 [ 35%]
tests/test_select.py::test_unselect PASSED                               [ 36%]
tests/test_select.py::test_select_list PASSED                            [ 36%]
tests/test_select.py::test_unselect_list PASSED                          [ 37%]
tests/test_select.py::test_select_X_Columns PASSED                       [ 38%]
tests/test_select.py::test_unselect_X_Columns PASSED                     [ 38%]
tests/test_select.py::test_select_mix_multiple PASSED                    [ 39%]
tests/test_select.py::test_unselect_mix_multiple PASSED                  [ 40%]
tests/test_select.py::test_select_columns_list_comprehension PASSED      [ 40%]
tests/test_select.py::test_select_columns_str_operation PASSED           [ 41%]
tests/test_select.py::test_unselect_columns_list_comprehension PASSED    [ 41%]
tests/test_select.py::test_unselect_columns_str_operation PASSED         [ 42%]
tests/test_select.py::test_select_renaming PASSED                        [ 43%]
tests/test_select.py::test_select_by_function PASSED                     [ 43%]
tests/test_select.py::test_select_regexps PASSED                         [ 44%]
tests/test_select.py::test_unselect_renaming_raises PASSED               [ 45%]
tests/test_select.py::test_unselect_by_function PASSED                   [ 45%]
tests/test_select.py::test_unselect_regexps PASSED                       [ 46%]
tests/test_select.py::test_unselect_dict_raises PASSED                   [ 47%]
tests/test_select.py::test_select_invalid_column_spec PASSED             [ 47%]
tests/test_select.py::test_select_inverse PASSED                         [ 48%]
tests/test_select.py::test_select_inverse_with_minus_column PASSED       [ 49%]
tests/test_select.py::test_select_inverse_with_minus_column_and_normal_column PASSED [ 49%]
tests/test_select.py::test_select_inverse_list PASSED                    [ 50%]
tests/test_select.py::test_select_inverse_list_mix_raises PASSED         [ 50%]
tests/test_select.py::test_unselect_inverse PASSED                       [ 51%]
tests/test_select.py::test_unselect_inverse_with_minus_column PASSED     [ 52%]
tests/test_select.py::test_unselect_inverse_list PASSED                  [ 52%]
tests/test_select.py::test_unselect_inverse_list_mix_raises PASSED       [ 53%]
tests/test_select.py::test_select_empty_list PASSED                      [ 54%]
tests/test_select.py::test_unselect_empty_list PASSED                    [ 54%]
tests/test_select.py::test_parse_column_spec_return_list_from_bool PASSED [ 55%]
tests/test_select.py::test_parse_column_spec_return_list_from_empty_list PASSED [ 56%]
tests/test_select.py::test_parse_column_spec_return_list_from_function PASSED [ 56%]
tests/test_select.py::test_parse_column_spec_return_list_from_regexps PASSED [ 57%]
tests/test_select.py::test_select_index PASSED                           [ 58%]
tests/test_select.py::test_select_dtypes PASSED                          [ 58%]
tests/test_single_verbs.py::test_head PASSED                             [ 59%]
tests/test_single_verbs.py::test_2_stage_concat PASSED                   [ 60%]
tests/test_single_verbs.py::test_list_concat PASSED                      [ 60%]
tests/test_single_verbs.py::test_arrange PASSED                          [ 61%]
tests/test_single_verbs.py::test_arrange_column_spec PASSED              [ 61%]
tests/test_single_verbs.py::test_arrange_column_spec_empty PASSED        [ 62%]
tests/test_single_verbs.py::test_arrange_column_spec_inverse PASSED      [ 63%]
tests/test_single_verbs.py::test_arrange_kind_allowed PASSED             [ 63%]
tests/test_single_verbs.py::test_arrange_column_spec_inverse2 PASSED     [ 64%]
tests/test_single_verbs.py::test_mutate PASSED                           [ 65%]
tests/test_single_verbs.py::test_transmutate PASSED                      [ 65%]
tests/test_single_verbs.py::test_distinct_dataFrame PASSED               [ 66%]
tests/test_single_verbs.py::test_distinct_series PASSED                  [ 67%]
tests/test_single_verbs.py::test_filter PASSED                           [ 67%]
tests/test_single_verbs.py::test_filter_combo PASSED                     [ 68%]
tests/test_single_verbs.py::test_group_by_add_count FAILED               [ 69%]
tests/test_single_verbs.py::test_group_by_head FAILED                    [ 69%]
tests/test_single_verbs.py::test_group_by_ungroup_head FAILED            [ 70%]
tests/test_single_verbs.py::test_ungroup_on_non_grouped_raises PASSED    [ 70%]
tests/test_single_verbs.py::test_group_by_summarise FAILED               [ 71%]
tests/test_single_verbs.py::test_sorting_within_groups FAILED            [ 72%]
tests/test_single_verbs.py::test_sorting_within_groups_head FAILED       [ 72%]
tests/test_single_verbs.py::test_sorting_within_groups_head_ungroup FAILED [ 73%]
tests/test_single_verbs.py::test_select_in_grouping_keeps_groups FAILED  [ 74%]
tests/test_single_verbs.py::test_iter_groups FAILED                      [ 74%]
tests/test_single_verbs.py::test_grouped_mutate_returns_scalar FAILED    [ 75%]
tests/test_single_verbs.py::test_grouped_mutate_returns_scalar_str FAILED [ 76%]
tests/test_single_verbs.py::test_grouped_mutate_returns_series FAILED    [ 76%]
tests/test_single_verbs.py::test_grouped_mutate_function FAILED          [ 77%]
tests/test_single_verbs.py::test_grouped_mutate_in_non_group PASSED      [ 78%]
tests/test_single_verbs.py::test_grouped_mutate_repeated_keys FAILED     [ 78%]
tests/test_single_verbs.py::test_grouped_reset_index FAILED              [ 79%]
tests/test_single_verbs.py::test_grouped_mutate_non_sorted FAILED        [ 80%]
tests/test_single_verbs.py::test_group_by_two_summarize_grouped FAILED   [ 80%]
tests/test_single_verbs.py::test_group_by_two_mutate_grouped FAILED      [ 81%]
tests/test_single_verbs.py::test_select_does_not_remove_group_columns FAILED [ 81%]
tests/test_single_verbs.py::test_unselected_group_columns_is_ignored FAILED [ 82%]
tests/test_single_verbs.py::test_dropping_group_columns_is_ignored FAILED [ 83%]
tests/test_single_verbs.py::test_accessor_drops_grouping FAILED          [ 83%]
tests/test_single_verbs.py::test_groupby_sort_changes_order_but_not_result FAILED [ 84%]
tests/test_single_verbs.py::test_groupby_sort_changes_order_but_not_result2 FAILED [ 85%]
tests/test_single_verbs.py::test_grouped_mutate_missing_keys FAILED      [ 85%]
tests/test_single_verbs.py::test_grouped_2_mutate_missing_keys FAILED    [ 86%]
tests/test_single_verbs.py::test_basic_summary FAILED                    [ 87%]
tests/test_single_verbs.py::test_summary_quantiles FAILED                [ 87%]
tests/test_single_verbs.py::test_summary_repeated_target_names PASSED    [ 88%]
tests/test_single_verbs.py::test_empty_summarize_raises FAILED           [ 89%]
tests/test_single_verbs.py::test_summarise_non_tuple FAILED              [ 89%]
tests/test_single_verbs.py::test_summarize_auto_name FAILED              [ 90%]
tests/test_single_verbs.py::test_do FAILED                               [ 90%]
tests/test_single_verbs.py::test_do_categorical_grouping FAILED          [ 91%]
tests/test_single_verbs.py::test_do_without_group PASSED                 [ 92%]
tests/test_single_verbs.py::test_do_group2 FAILED                        [ 92%]
tests/test_single_verbs.py::test_filter_by_callable PASSED               [ 93%]
tests/test_single_verbs.py::test_filter_by_converted_column PASSED       [ 94%]
tests/test_single_verbs.py::test_filter_by_bool_column PASSED            [ 94%]
tests/test_single_verbs.py::test_filter_by_column_raises_on_non_column PASSED [ 95%]
tests/test_single_verbs.py::test_filter_by_callable_grouped FAILED       [ 96%]
tests/test_single_verbs.py::test_grouped_filter_by_returns_series FAILED [ 96%]
tests/test_single_verbs.py::test_filter_by_unkown_raises PASSED          [ 97%]
tests/test_single_verbs.py::test_mutate_series PASSED                    [ 98%]
tests/test_single_verbs.py::test_groupby_select PASSED                   [ 98%]
tests/test_single_verbs.py::test_groupby_within_chain PASSED             [ 99%]
tests/test_single_verbs.py::test_groupby_within_chain_select_on_group PASSED [100%]

=================================== FAILURES ===================================
______________________ test_interleaved_context_managers _______________________

    def test_interleaved_context_managers():
        with dppd(mtcars) as (dpX, X):
            with dppd(diamonds) as (dpY, Y):
                dpX.group_by("cyl")
                dpY.filter_by(Y.cut == "Ideal")
                dpX.summarize(("hp", np.mean, "mean_hp"))
                dpY.summarize(("price", np.max, "max_price"))
        should_X = (
            mtcars.groupby("cyl")[["hp"]].agg(np.mean).rename(columns={"hp": "mean_hp"})
        ).reset_index()
        should_Y = (
            pd.DataFrame(diamonds[diamonds.cut == "Ideal"].max()[["price"]])
            .transpose()
            .rename(columns={"price": "max_price"})
        )
        should_Y["max_price"] = should_Y["max_price"].astype(int)
>       assert_frame_equal(X, should_X)

tests/test_base.py:226: 
_ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ 
../dev/lib/python3.6/site-packages/pandas/util/testing.py:1321: in assert_frame_equal
    '{shape!r}'.format(shape=right.shape))
_ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ 

obj = 'DataFrame', message = 'DataFrame shape mismatch', left = '(1, 1)'
right = '(3, 2)', diff = None

    def raise_assert_detail(obj, message, left, right, diff=None):
        if isinstance(left, np.ndarray):
            left = pprint_thing(left)
        elif is_categorical_dtype(left):
            left = repr(left)
    
        if PY2 and isinstance(left, string_types):
            # left needs to be printable in native text type in python2
            left = left.encode('utf-8')
    
        if isinstance(right, np.ndarray):
            right = pprint_thing(right)
        elif is_categorical_dtype(right):
            right = repr(right)
    
        if PY2 and isinstance(right, string_types):
            # right needs to be printable in native text type in python2
            right = right.encode('utf-8')
    
        msg = """{obj} are different
    
    {message}
    [left]:  {left}
    [right]: {right}""".format(obj=obj, message=message, left=left, right=right)
    
        if diff is not None:
            msg += "\n[diff]: {diff}".format(diff=diff)
    
>       raise AssertionError(msg)
E       AssertionError: DataFrame are different
E       
E       DataFrame shape mismatch
E       [left]:  (1, 1)
E       [right]: (3, 2)

../dev/lib/python3.6/site-packages/pandas/util/testing.py:1035: AssertionError
__________________________________ test_print __________________________________

capsys = <_pytest.capture.CaptureFixture object at 0x7f7ddc22d860>

    def test_print(capsys):
        dp(mtcars).print()
        captured = capsys.readouterr()
        assert "Mazda RX4" in captured.out
>       dp(mtcars).group_by("cyl").print()

tests/test_reshaping.py:161: 
_ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ 

self = <pandas.core.groupby.groupby.DataFrameGroupBy object at 0x7f7ddbfcd5f8>
attr = 'print'

    def __getattr__(self, attr):
        if attr in self._internal_names_set:
            return object.__getattribute__(self, attr)
        if attr in self.obj:
            return self[attr]
        if hasattr(self.obj, attr):
            return self._make_wrapper(attr)
    
        raise AttributeError("%r object has no attribute %r" %
>                            (type(self).__name__, attr))
E       AttributeError: 'DataFrameGroupBy' object has no attribute 'print'

../dev/lib/python3.6/site-packages/pandas/core/groupby/groupby.py:765: AttributeError
___________________________ test_group_by_add_count ____________________________

    def test_group_by_add_count():
        df = pd.DataFrame({"x": [1, 5, 2, 2, 4, 0, 4], "y": [1, 2, 3, 4, 5, 6, 5]})
>       actual = dp(df).group_by("x").add_count().pd

tests/test_single_verbs.py:143: 
_ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ 

self = <pandas.core.groupby.groupby.DataFrameGroupBy object at 0x7f7ddc248160>
attr = 'add_count'

    def __getattr__(self, attr):
        if attr in self._internal_names_set:
            return object.__getattribute__(self, attr)
        if attr in self.obj:
            return self[attr]
        if hasattr(self.obj, attr):
            return self._make_wrapper(attr)
    
        raise AttributeError("%r object has no attribute %r" %
>                            (type(self).__name__, attr))
E       AttributeError: 'DataFrameGroupBy' object has no attribute 'add_count'

../dev/lib/python3.6/site-packages/pandas/core/groupby/groupby.py:765: AttributeError
______________________________ test_group_by_head ______________________________

    def test_group_by_head():
>       actual = dp(mtcars).group_by("cyl").head(1).select("name").pd

tests/test_single_verbs.py:156: 
_ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ 
../dev/lib/python3.6/site-packages/pandas/core/generic.py:3052: in select
    np.asarray([bool(crit(label)) for label in axis_values])]
_ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ 

.0 = <list_iterator object at 0x7f7ddc2b6dd8>

>   np.asarray([bool(crit(label)) for label in axis_values])]
E   TypeError: 'str' object is not callable

../dev/lib/python3.6/site-packages/pandas/core/generic.py:3052: TypeError
__________________________ test_group_by_ungroup_head __________________________

    def test_group_by_ungroup_head():
>       actual = dp(mtcars).group_by("cyl").identity().ungroup().head(1).pd

tests/test_single_verbs.py:169: 
_ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ 

self = <pandas.core.groupby.groupby.DataFrameGroupBy object at 0x7f7ddc31dc88>
attr = 'identity'

    def __getattr__(self, attr):
        if attr in self._internal_names_set:
            return object.__getattribute__(self, attr)
        if attr in self.obj:
            return self[attr]
        if hasattr(self.obj, attr):
            return self._make_wrapper(attr)
    
        raise AttributeError("%r object has no attribute %r" %
>                            (type(self).__name__, attr))
E       AttributeError: 'DataFrameGroupBy' object has no attribute 'identity'

../dev/lib/python3.6/site-packages/pandas/core/groupby/groupby.py:765: AttributeError
___________________________ test_group_by_summarise ____________________________

    def test_group_by_summarise():
>       actual = dp(mtcars).group_by("cyl").summarise(("name", len, "count")).pd

tests/test_single_verbs.py:181: 
_ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ 

self = <pandas.core.groupby.groupby.DataFrameGroupBy object at 0x7f7df44a76a0>
attr = 'summarise'

    def __getattr__(self, attr):
        if attr in self._internal_names_set:
            return object.__getattribute__(self, attr)
        if attr in self.obj:
            return self[attr]
        if hasattr(self.obj, attr):
            return self._make_wrapper(attr)
    
        raise AttributeError("%r object has no attribute %r" %
>                            (type(self).__name__, attr))
E       AttributeError: 'DataFrameGroupBy' object has no attribute 'summarise'

../dev/lib/python3.6/site-packages/pandas/core/groupby/groupby.py:765: AttributeError
__________________________ test_sorting_within_groups __________________________

    def test_sorting_within_groups():
>       actual = dp(mtcars).group_by(X.cyl).sort_values("qsec").pd

tests/test_single_verbs.py:191: 
_ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ 
../dev/lib/python3.6/site-packages/pandas/core/groupby/groupby.py:762: in __getattr__
    return self._make_wrapper(attr)
_ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ 

self = <pandas.core.groupby.groupby.DataFrameGroupBy object at 0x7f7ddc2b6dd8>
name = 'sort_values'

    def _make_wrapper(self, name):
        if name not in self._apply_whitelist:
            is_callable = callable(getattr(self._selected_obj, name, None))
            kind = ' callable ' if is_callable else ' '
            msg = ("Cannot access{0}attribute {1!r} of {2!r} objects, try "
                   "using the 'apply' method".format(kind, name,
                                                     type(self).__name__))
>           raise AttributeError(msg)
E           AttributeError: Cannot access callable attribute 'sort_values' of 'DataFrameGroupBy' objects, try using the 'apply' method

../dev/lib/python3.6/site-packages/pandas/core/groupby/groupby.py:799: AttributeError
_______________________ test_sorting_within_groups_head ________________________

    def test_sorting_within_groups_head():
>       actual = dp(mtcars).group_by(X.cyl).sort_values("qsec").tail(1).pd

tests/test_single_verbs.py:198: 
_ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ 
../dev/lib/python3.6/site-packages/pandas/core/groupby/groupby.py:762: in __getattr__
    return self._make_wrapper(attr)
_ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ 

self = <pandas.core.groupby.groupby.DataFrameGroupBy object at 0x7f7ddc31dc88>
name = 'sort_values'

    def _make_wrapper(self, name):
        if name not in self._apply_whitelist:
            is_callable = callable(getattr(self._selected_obj, name, None))
            kind = ' callable ' if is_callable else ' '
            msg = ("Cannot access{0}attribute {1!r} of {2!r} objects, try "
                   "using the 'apply' method".format(kind, name,
                                                     type(self).__name__))
>           raise AttributeError(msg)
E           AttributeError: Cannot access callable attribute 'sort_values' of 'DataFrameGroupBy' objects, try using the 'apply' method

../dev/lib/python3.6/site-packages/pandas/core/groupby/groupby.py:799: AttributeError
___________________ test_sorting_within_groups_head_ungroup ____________________

    def test_sorting_within_groups_head_ungroup():
>       actual = dp(mtcars).group_by(X.cyl).sort_values("qsec").ungroup().tail(1).pd

tests/test_single_verbs.py:208: 
_ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ 
../dev/lib/python3.6/site-packages/pandas/core/groupby/groupby.py:762: in __getattr__
    return self._make_wrapper(attr)
_ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ 

self = <pandas.core.groupby.groupby.DataFrameGroupBy object at 0x7f7ddc33fc88>
name = 'sort_values'

    def _make_wrapper(self, name):
        if name not in self._apply_whitelist:
            is_callable = callable(getattr(self._selected_obj, name, None))
            kind = ' callable ' if is_callable else ' '
            msg = ("Cannot access{0}attribute {1!r} of {2!r} objects, try "
                   "using the 'apply' method".format(kind, name,
                                                     type(self).__name__))
>           raise AttributeError(msg)
E           AttributeError: Cannot access callable attribute 'sort_values' of 'DataFrameGroupBy' objects, try using the 'apply' method

../dev/lib/python3.6/site-packages/pandas/core/groupby/groupby.py:799: AttributeError
_____________________ test_select_in_grouping_keeps_groups _____________________

    def test_select_in_grouping_keeps_groups():
>       actual = dp(mtcars).group_by("cyl").select("qsec").pd

tests/test_single_verbs.py:216: 
_ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ 
../dev/lib/python3.6/site-packages/pandas/core/groupby/groupby.py:762: in __getattr__
    return self._make_wrapper(attr)
_ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ 

self = <pandas.core.groupby.groupby.DataFrameGroupBy object at 0x7f7ddc26d780>
name = 'select'

    def _make_wrapper(self, name):
        if name not in self._apply_whitelist:
            is_callable = callable(getattr(self._selected_obj, name, None))
            kind = ' callable ' if is_callable else ' '
            msg = ("Cannot access{0}attribute {1!r} of {2!r} objects, try "
                   "using the 'apply' method".format(kind, name,
                                                     type(self).__name__))
>           raise AttributeError(msg)
E           AttributeError: Cannot access callable attribute 'select' of 'DataFrameGroupBy' objects, try using the 'apply' method

../dev/lib/python3.6/site-packages/pandas/core/groupby/groupby.py:799: AttributeError
_______________________________ test_iter_groups _______________________________

    def test_iter_groups():
        g = []
        ls = []
>       for grp, sub_df in dp(mtcars).group_by("cyl").itergroups():

tests/test_single_verbs.py:223: 
_ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ 

self = <pandas.core.groupby.groupby.DataFrameGroupBy object at 0x7f7ddc31dc88>
attr = 'itergroups'

    def __getattr__(self, attr):
        if attr in self._internal_names_set:
            return object.__getattribute__(self, attr)
        if attr in self.obj:
            return self[attr]
        if hasattr(self.obj, attr):
            return self._make_wrapper(attr)
    
        raise AttributeError("%r object has no attribute %r" %
>                            (type(self).__name__, attr))
E       AttributeError: 'DataFrameGroupBy' object has no attribute 'itergroups'

../dev/lib/python3.6/site-packages/pandas/core/groupby/groupby.py:765: AttributeError
______________________ test_grouped_mutate_returns_scalar ______________________

    def test_grouped_mutate_returns_scalar():
        actual = (
            dp(mtcars)
>           .group_by("cyl")
            .mutate(count={grp: len(sub_df) for (grp, sub_df) in X.itergroups()})
            .select("count")
            .pd.sort_index()
        )

tests/test_single_verbs.py:233: 
_ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ 

self = <pandas.core.groupby.groupby.DataFrameGroupBy object at 0x7f7ddc248438>
attr = 'mutate'

    def __getattr__(self, attr):
        if attr in self._internal_names_set:
            return object.__getattribute__(self, attr)
        if attr in self.obj:
            return self[attr]
        if hasattr(self.obj, attr):
            return self._make_wrapper(attr)
    
        raise AttributeError("%r object has no attribute %r" %
>                            (type(self).__name__, attr))
E       AttributeError: 'DataFrameGroupBy' object has no attribute 'mutate'

../dev/lib/python3.6/site-packages/pandas/core/groupby/groupby.py:765: AttributeError
____________________ test_grouped_mutate_returns_scalar_str ____________________

    def test_grouped_mutate_returns_scalar_str():
        actual = (
            dp(mtcars)
>           .group_by("cyl")
            .mutate(count={grp: "X" + str(len(sub_df)) for (grp, sub_df) in X.itergroups()})
            .select("count")
            .pd.sort_index()
        )

tests/test_single_verbs.py:249: 
_ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ 

self = <pandas.core.groupby.groupby.DataFrameGroupBy object at 0x7f7ddbf07be0>
attr = 'mutate'

    def __getattr__(self, attr):
        if attr in self._internal_names_set:
            return object.__getattribute__(self, attr)
        if attr in self.obj:
            return self[attr]
        if hasattr(self.obj, attr):
            return self._make_wrapper(attr)
    
        raise AttributeError("%r object has no attribute %r" %
>                            (type(self).__name__, attr))
E       AttributeError: 'DataFrameGroupBy' object has no attribute 'mutate'

../dev/lib/python3.6/site-packages/pandas/core/groupby/groupby.py:765: AttributeError
______________________ test_grouped_mutate_returns_series ______________________

    def test_grouped_mutate_returns_series():
        actual = (
            dp(mtcars)
>           .group_by("cyl")
            .mutate(grp_rank={grp: sub_df.hp.rank() for (grp, sub_df) in X.itergroups()})
            .select("grp_rank")
            .pd.sort_index()
        )

tests/test_single_verbs.py:265: 
_ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ 

self = <pandas.core.groupby.groupby.DataFrameGroupBy object at 0x7f7ddc265eb8>
attr = 'mutate'

    def __getattr__(self, attr):
        if attr in self._internal_names_set:
            return object.__getattribute__(self, attr)
        if attr in self.obj:
            return self[attr]
        if hasattr(self.obj, attr):
            return self._make_wrapper(attr)
    
        raise AttributeError("%r object has no attribute %r" %
>                            (type(self).__name__, attr))
E       AttributeError: 'DataFrameGroupBy' object has no attribute 'mutate'

../dev/lib/python3.6/site-packages/pandas/core/groupby/groupby.py:765: AttributeError
_________________________ test_grouped_mutate_function _________________________

    def test_grouped_mutate_function():
        actual = (
            dp(mtcars)
>           .group_by("cyl")
            .mutate(max_hp=lambda x: x["hp"].max())
            .select(["cyl", "max_hp", "name"])
            .pd
        )

tests/test_single_verbs.py:282: 
_ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ 

self = <pandas.core.groupby.groupby.DataFrameGroupBy object at 0x7f7ddc265c50>
attr = 'mutate'

    def __getattr__(self, attr):
        if attr in self._internal_names_set:
            return object.__getattribute__(self, attr)
        if attr in self.obj:
            return self[attr]
        if hasattr(self.obj, attr):
            return self._make_wrapper(attr)
    
        raise AttributeError("%r object has no attribute %r" %
>                            (type(self).__name__, attr))
E       AttributeError: 'DataFrameGroupBy' object has no attribute 'mutate'

../dev/lib/python3.6/site-packages/pandas/core/groupby/groupby.py:765: AttributeError
______________________ test_grouped_mutate_repeated_keys _______________________

